kegiatan utama,indikator kegiatan utama,Rencana Aksi,output(Satuan),pic_pelaksana,target tw 1,target tw 2,target tw 3,target tw 4,capaian output tw 1,capaian output tw 2,capaian output tw 3,capaian output tw 4,status tw 1,status tw 2,status tw 3,status tw 4,Persentase Pencapaian Target
Pembangunan Zona Integritas di Satuan Kerja,Tingkat Keberhasilan Pembangunan ZI,8. Penyusunan Buku Pedoman Pembangunan ZI Tahun 2025,Dokumen,Inspektorat Wilayah III,1,1,1,1,1,1,0,0,Target Tercapai,Target Tercapai,Tidak Tercapai,Tidak Tercapai,0.5
Pelaksanaan SAKIP Terintegrasi,Nilai SAKIP,1. Reviu dokumen Renstra 2025-2029 oleh Inspektorat,Laporan ,Biro Perencanaan,0,0,0,1,0,0,0,1,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Target Tercapai,1
Pelaksanaan SAKIP Terintegrasi,Nilai SAKIP,2. Revisi dokumen Renstra 2025-2029 sesuai hasil reviu Inspektorat,Laporan ,Biro Perencanaan,0,0,0,1,0,0,1,1,Tidak Ada Target,Tidak Ada Target,Target Tercapai,Target Tercapai,1
Pelaksanaan SAKIP Terintegrasi,Nilai SAKIP,"3. Melakukan pemutakhiran CSF sesuai dengan pemetaan potensi, permasalahan, peluang dan tantangan BPS 2025-2029",Dokumen,Biro Perencanaan,0,0,0,1,0,0,1,1,Tidak Ada Target,Tidak Ada Target,Target Tercapai,Target Tercapai,1
Pelaksanaan SAKIP Terintegrasi,Nilai SAKIP,4. Melakukan penyempurnaan pohon kinerja sesuai dengan hasil pemutakhiran CSF,Dokumen,Biro Perencanaan,0,0,0,1,0,0,1,1,Tidak Ada Target,Tidak Ada Target,Target Tercapai,Target Tercapai,1
Pelaksanaan SAKIP Terintegrasi,Nilai SAKIP,5. Melakukan mapping kebutuhan pencapaian IKU pada setiap unit kerja,Dokumen,Biro Perencanaan,0,0,0,1,0,0,1,1,Tidak Ada Target,Tidak Ada Target,Target Tercapai,Target Tercapai,1
Pelaksanaan SAKIP Terintegrasi,Nilai SAKIP,6. Pengembangan sistem dengan mengintegrasikan sistem yang terkait dengan monitoring dan evaluasi kinerja Organisasi,Persentase,Biro Perencanaan,0.25,0.5625,0.75,1,0.25,0.5,0.875,1,Target Tercapai,Tidak Tercapai,Target Tercapai,Target Tercapai,0.75
Pelaksanaan SAKIP Terintegrasi,Nilai SAKIP,7. Menyusun kebijakan pemberian reward and punishment terkait pelaksanaan pemberian FWA dalam bentuk Perka,Persentase,Biro Perencanaan,0,0.25,0.5,0.75,0,0.25,0.25,0.75,Tidak Ada Target,Target Tercapai,Tidak Tercapai,Target Tercapai,0.75
Pelaksanaan SAKIP Terintegrasi,Nilai SAKIP,8. Perluasan unit kerja piloting FWA sebagai implementasi reward and punishment pemberian FWA berdasarkan capaian kinerja pegawai,Unit Kerja,Biro Perencanaan,0,1,2,3,0,1,2,2,Tidak Ada Target,Target Tercapai,Target Tercapai,Tidak Tercapai,0.75
Pelaksanaan SAKIP Terintegrasi,Nilai SAKIP,9. Penyusunan Surat Sestama terkait tindak lanjut rekomendasi Kemenpan RB dalam LAKIN Tahun 2024 ,Jumlah Surat,Biro Perencanaan,2,2,2,4,2,2,2,2,Target Tercapai,Target Tercapai,Target Tercapai,Tidak Tercapai,0.75
Pelaksanaan SAKIP Terintegrasi,Nilai SAKIP,10. Penyusunan LAKIN lembaga dan unit kerja yang telah memuat analisis yang mendalam,Laporan ,Biro Perencanaan,558,558,558,558,558,558,558,558,Target Tercapai,Target Tercapai,Target Tercapai,Target Tercapai,1
Pelaksanaan SAKIP Terintegrasi,Nilai SAKIP,11. Reviu LAKIN lembaga BPS oleh Inspektorat,Laporan ,Biro Perencanaan,1,1,1,1,1,1,1,1,Target Tercapai,Target Tercapai,Target Tercapai,Target Tercapai,1
Pelaksanaan SAKIP Terintegrasi,Nilai SAKIP,12. Revisi Draft LAKIN sesuai hasil Reviu LAKIN BPS,Laporan ,Biro Perencanaan,1,1,1,1,1,1,1,1,Target Tercapai,Target Tercapai,Target Tercapai,Target Tercapai,1
Pelaksanaan SAKIP Terintegrasi,Nilai SAKIP,13. Monitoring kualitas LAKIN unit kerja Tahun 2024,Dokumen,Biro Perencanaan,1,1,1,1,1,1,1,1,Target Tercapai,Target Tercapai,Target Tercapai,Target Tercapai,1
Pelaksanaan SAKIP Terintegrasi,Nilai SAKIP,14. Melakukan pembinaan SAKIP untuk seluruh unit kerja,Kegiatan,Biro Perencanaan,1,1,1,1,1,1,1,1,Target Tercapai,Target Tercapai,Target Tercapai,Target Tercapai,1
Pelaksanaan SAKIP Terintegrasi,Nilai SAKIP,15. Monitoring notula penetapan target Renstra dan PK unit kerja,Dokumen,Biro Perencanaan,1,1,1,1,1,1,1,1,Target Tercapai,Target Tercapai,Target Tercapai,Target Tercapai,1
Pelaksanaan SAKIP Terintegrasi,Nilai SAKIP,16. Melakukan Monitoring Tindak Lanjut atas rekomendasi evaluasi AKIP 2024 pada Aplikasi SINERGI modul Evaluasi,Persentase,Biro Perencanaan,0,0,0.5,1,0,0,0.5,1,Tidak Ada Target,Tidak Ada Target,Target Tercapai,Target Tercapai,1
Pelaksanaan SAKIP Terintegrasi,Nilai SAKIP,17. Penyelenggaraan Bimtek Evaluator AKIP 2025 dan Penambahan menu tindak lanjut APIP pada Aplikasi SINERGI modul Evaluasi,Persentase,Biro Perencanaan,0,1,1,1,0,0.5,1,1,Tidak Ada Target,Tidak Tercapai,Target Tercapai,Target Tercapai,0.75
Pelaksanaan Tata kelola Kebijakan Publik,Indeks Perencanaan Pembangunan,1. Evaluasi dan internalisasi kepada tim perencanaan dan pelaksanaan anggaran terkait hasil penilaian Indeks Perencanaan Pembangunan Nasional Tahun 2024 khususnya untuk catatan yang perlu ditindaklanjuti,Dokumen,Biro Perencanaan,0,1,1,1,0,1,0,0,Tidak Ada Target,Target Tercapai,Tidak Tercapai,Tidak Tercapai,0.5
Pelaksanaan Tata kelola Kebijakan Publik,Indeks Perencanaan Pembangunan,2. Peningkatan kualitas dokumen perencanaan BPS,Dokumen,Biro Perencanaan,0,0,1,1,0,0,1,0,Tidak Ada Target,Tidak Ada Target,Target Tercapai,Tidak Tercapai,0.75
Pelaksanaan Tata kelola Kebijakan Publik,Indeks Pembangunan Statistik,1. Pelaksanaan pemantauan / reviu penerapan SDI di BPS,Persentase,Biro Perencanaan,0,0,0,1,0,0,0,0.01,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Tidak Tercapai,0.75
Pelaksanaan Tata kelola Kebijakan Publik,Indeks Pembangunan Statistik,2. Penyusunan strategi dan pelaksanaan tindak lanjut hasil reviu kualitas proses bisnis statistik,Persentase,Biro Perencanaan,0,0.25,0.5,1,0,0.25,0.01,0,Tidak Ada Target,Target Tercapai,Tidak Tercapai,Tidak Tercapai,0.5
Pelaksanaan Tata kelola Kebijakan Publik,Indeks Pembangunan Statistik,"3. - Penetapan perubahan Struktur Organisasi dan Tata Kerja BPS
- Penetapan unit Kerja pengampu tindak lanjut rekomendasi IPS berdasarkan Struktur Organisasi dan Tata Kerja yang baru",Dokumen,Biro Perencanaan,0,0,0,1,0,0,1,0,Tidak Ada Target,Tidak Ada Target,Target Tercapai,Tidak Tercapai,0.75
Pelaksanaan Tata kelola Kebijakan Publik,Capaian Prioritas Nasional,1. Monitoring capaian RO Prioritas Nasional setiap triwulan,Dokumen,Biro Perencanaan,1,2,3,4,1,2,3,4,Target Tercapai,Target Tercapai,Target Tercapai,Target Tercapai,1
Pelaksanaan Tata kelola Kebijakan Publik,Capaian Prioritas Nasional,2. Monitoring capaian indikator Sasaran Strategis setiap triwulan,Dokumen,Biro Perencanaan,1,2,3,4,1,1,3,4,Target Tercapai,Tidak Tercapai,Target Tercapai,Target Tercapai,0.75
Pelaksanaan Arsitektur SPBE Nasional,Indeks SPBE,1. Mengevaluasi Peta Rencana SPBE BPS 2020-2024,Laporan,Direktorat SIS,0,0,0,1,0,0,0,0.8,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Tidak Tercapai,0.75
Pelaksanaan Arsitektur SPBE Nasional,Indeks SPBE,2. Menganalisis Renstra BPS 2025-2029,Laporan,Direktorat SIS,0,0,0,1,0,0,0,1,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Target Tercapai,1
Pelaksanaan Arsitektur SPBE Nasional,Indeks SPBE,3. Menganalisis Arah Kebijakan Transformasi Digital Nasional,Dokumen,Direktorat SIS,0,0,0,1,0,0,0,0.8,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Tidak Tercapai,0.75
Pelaksanaan Arsitektur SPBE Nasional,Indeks SPBE,4. Menyusun Peta Rencana SPBE BPS 2025-2029,Dokumen,Direktorat SIS,0,0,0,1,0,0,0,0,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Tidak Tercapai,0.75
Pelaksanaan Arsitektur SPBE Nasional,Indeks SPBE,5. Evaluasi Layanan Online BPS,Laporan,Direktorat SIS,0,0,0,1,0,0,0,0,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Tidak Tercapai,0.75
Pelaksanaan Arsitektur SPBE Nasional,Indeks SPBE,6. Tindak lanjut/ pengembangan Layanan Online berdasarkan hasil evaluasi,Persen,Direktorat SIS,0,0.25,0.5,1,0,0.25,0.5,1,Tidak Ada Target,Target Tercapai,Target Tercapai,Target Tercapai,1
Pelaksanaan Arsitektur SPBE Nasional,Indeks SPBE,7. Audit Aplikasi SPBE oleh Eksternal,Laporan,Direktorat SIS,0,0,0,1,0,0,0,0,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Tidak Tercapai,0.75
Pelaksanaan Arsitektur SPBE Nasional,Indeks SPBE,8. Audit Infrastruktur SPBE oleh Eksternal,Laporan,Direktorat SIS,0,0,0,1,0,0,0,0,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Tidak Tercapai,0.75
Pelaksanaan Arsitektur SPBE Nasional,Indeks SPBE,9. Audit Keamanan SPBE oleh Eksternal,Laporan,Direktorat SIS,0,0,0,1,0,0,0,1,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Target Tercapai,1
Pelaksanaan Arsitektur SPBE Nasional,Tingkat Implementasi Kebijakan Arsitektur SPBE,1. Menyusun Kebijakan Arsitektur SPBE BPS  2025-2029 (Perka BPS),Dokumen,Direktorat SIS,0,0,0,1,0,0,0,0,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Tidak Tercapai,0.75
Pelaksanaan Arsitektur SPBE Nasional,Tingkat Implementasi Kebijakan Arsitektur SPBE,2. Menyusun Peta Rencana SPBE BPS  2025-2029,Dokumen,Direktorat SIS,0,0,0,1,0,0,0,0,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Tidak Tercapai,0.75
Pelaksanaan Arsitektur SPBE Nasional,Tingkat Implementasi Kebijakan Arsitektur SPBE,3. Menggambarkan Peta Rencana SPBE BPS  2025-2029 pada SIA SPBE,Persen,Direktorat SIS,0,0,0.5,1,0,0,0.5,0.5,Tidak Ada Target,Tidak Ada Target,Target Tercapai,Tidak Tercapai,0.75
Pelaksanaan Arsip Digital,Tingkat Digitalisasi Arsip ,1. Autentifikasi arsip hasil alih media,Persentase,Biro Umum ,0.25,0.5,0.75,1,0.5498,0.5639,0.8921,1,Target Tercapai,Target Tercapai,Target Tercapai,Target Tercapai,1
Pelaksanaan Arsip Digital,Tingkat Digitalisasi Arsip ,2. Pemberkasan naskah dinas yang tercipta pada aplikasi Srikandi di seluruh unit pengolah,Persentase,Biro Umum ,0.25,0.5,0.75,1,1,1,1,1,Target Tercapai,Target Tercapai,Target Tercapai,Target Tercapai,1
Pelaksanaan Arsip Digital,Tingkat Digitalisasi Arsip ,3. Pelaksanaan monitoring dan evaluasi secara berkala pada penyelenggaraan SIKN/JIKN,Laporan,Biro Umum ,1,2,3,4,1,2,3,4,Target Tercapai,Target Tercapai,Target Tercapai,Target Tercapai,1
Pelaksanaan Arsip Digital,Tingkat Digitalisasi Arsip ,4. Mengikuti diklat/bimtek/workshop terkait materi pengelolaan arsip elektronik (PAE),Persentase,Biro Umum ,0.25,0.5,0.75,1,1,1,1,1,Target Tercapai,Target Tercapai,Target Tercapai,Target Tercapai,1
Penguatan Pengelolaan Keuangan dan Aset,Indikator Kinerja Pelaksanaan Anggaran (IKPA),1. Melakukan review DIPA secara periodik,Dokumen,Biro Keuangan,1,2,3,4,1,2,3,4,Target Tercapai,Target Tercapai,Target Tercapai,Target Tercapai,1
Penguatan Pengelolaan Keuangan dan Aset,Indikator Kinerja Pelaksanaan Anggaran (IKPA),2. Melakukan penyusunan rencana penarikan dana masing-masing jenis belanja,Dokumen,Biro Keuangan,1,2,3,4,1,2,3,4,Target Tercapai,Target Tercapai,Target Tercapai,Target Tercapai,1
Penguatan Pengelolaan Keuangan dan Aset,Indikator Kinerja Pelaksanaan Anggaran (IKPA),3. Melakukan monitoring penyerapan anggaran,Dokumen,Biro Keuangan,1,2,3,4,1,2,3,4,Target Tercapai,Target Tercapai,Target Tercapai,Target Tercapai,1
Penguatan Pengelolaan Keuangan dan Aset,Indikator Kinerja Pelaksanaan Anggaran (IKPA),4. Melakukan monitoring belanja kontraktual dan penyelesaian tagihan,Dokumen,Biro Keuangan,1,2,3,4,1,2,3,4,Target Tercapai,Target Tercapai,Target Tercapai,Target Tercapai,1
Penguatan Pengelolaan Keuangan dan Aset,Indikator Kinerja Pelaksanaan Anggaran (IKPA),"5. Melakukan koordinasi antara Bendahara, Penanggungjawab kegiatan dan PPK terkait penggunaan UP dan TUP",Kegiatan,Biro Keuangan,1,2,3,4,1,2,3,4,Target Tercapai,Target Tercapai,Target Tercapai,Target Tercapai,1
Penguatan Pengelolaan Keuangan dan Aset,Indikator Kinerja Pelaksanaan Anggaran (IKPA),6. Membuat Surat Edaran mengenai langkah-langkah akhir tahun anggaran ,Dokumen,Biro Keuangan,0,0,0,1,1,0,0,1,Target Tercapai,Tidak Ada Target,Tidak Ada Target,Target Tercapai,1
Penguatan Pengelolaan Keuangan dan Aset,Indikator Kinerja Pelaksanaan Anggaran (IKPA),7. Menetapkan target dan penyampaian perhitungan capaian output dengan benar dan tepat waktu ,Persentase,Biro Keuangan,0.25,0.5,0.75,1,0.25,0.5,0.75,1,Target Tercapai,Target Tercapai,Target Tercapai,Target Tercapai,1
Penguatan Pengelolaan Keuangan dan Aset,Indeks Pengelolaan Aset (IPA),"Pengajuan Sanggah Hal tersebut didasari pada :
a. Adanya perhitungan PNBP yang belum sesuai dengan realisasi PNBP pada Laporan Realisasi PNBP, sehingga pada saat perhitungan awal, seolah-olah perolehan PNBP tidak optimal, Tidak ada TL atas BMN RB, dll

Adanya Tindak Lanjut Pengelolaan yang belum dihitung pada penilaian IPA 2024. Hasil atas pengajuan sanngah tersebut, nilai IPA terkoreksi menjadi 3,66

Dengan dilakukannya sanggah nilai IPA dan merubah Nilai IPA BPS dari 3,21 menjadi 3,66, maka rekomendasi LHE sudah tidak relevan

b. Perbaikan Target/estimasi PNBP sudah dilakukan dari tahun yang lalu, dengan melakukan perhitungan estimasi PNBP dari pengelolaan BMN",Persentase,Biro Umum ,0.25,0.5,0.75,1,0.1952,0.383,0.8633,1,Tidak Tercapai,Tidak Tercapai,Target Tercapai,Target Tercapai,0.5
Penguatan Pengelolaan Keuangan dan Aset,Indeks Pengelolaan Aset (IPA),"Melaksanakan kegiatan Pelaporan BMN, RKBMN, Wasdal dan Asuransi sesuai dengan ketentuan",Persentase,,0.64,0.69,0.83,1,0.7222,0.7778,0.8333,1,Target Tercapai,Target Tercapai,Target Tercapai,Target Tercapai,1
Penguatan Pengelolaan Keuangan dan Aset,Indeks Pengelolaan Aset (IPA),"Dalam upaya optimalisasi pencapaian nilai IPA tahun 2025, Biro umum akan mengoptimalkan aplikasi SIMAN dalam rangka pengelolaan BMN. Biro Umum akan meningkatkan kegiatan Pengawasan dan pengendalian dalam pengelolaan BMN


Biro Umum secara periodik melakukan monitoring pengelolaan BMN yang bersinggungan dengan proses penghapusan BMN.",Persentase,,0.25,0.5,0.75,1,0.5956,0.8133,0.9889,1,Target Tercapai,Target Tercapai,Target Tercapai,Target Tercapai,1
Penguatan Pengelolaan Keuangan dan Aset,Indeks Pengelolaan Aset (IPA),Optimalisasi penggunaan BMN dengan memanfaatkan tool SIMAN BMN sebagai tool monitoring optimalisasi BMN berdasarkan SBSK,,,42.5,64.75,80.75,99.75,0.3374,0.5672,109.16,10.917,Tidak Tercapai,Tidak Tercapai,Target Tercapai,Target Tercapai,0.5
Peningkatan Pengelolaan dan Penyelesaian Pengaduan Masyarakat ,Tingkat Tindak Lanjut Pengaduan Masyarakat (LAPOR) yang Sudah Diselesaikan,1. Melakukan reviu SOP SP4NLapor,Dokumen,Inspektorat Wilayah III,0,0,1,1,0,0,1,1,Tidak Ada Target,Tidak Ada Target,Target Tercapai,Target Tercapai,1
Peningkatan Pengelolaan dan Penyelesaian Pengaduan Masyarakat ,Tingkat Tindak Lanjut Pengaduan Masyarakat (LAPOR) yang Sudah Diselesaikan,2. Penyusunan peraturan BPS kolaborasi dengan HUMAS dan HUKUM,Dokumen,Inspektorat Wilayah III,0,0,1,1,0,0,1,1,Tidak Ada Target,Tidak Ada Target,Target Tercapai,Target Tercapai,1
Peningkatan Pengelolaan dan Penyelesaian Pengaduan Masyarakat ,Tingkat Tindak Lanjut Pengaduan Masyarakat (LAPOR) yang Sudah Diselesaikan,"3. Kegiatan monitoring SP4NLapor Bulanan, se-Indonesia",Dokumen,Inspektorat Wilayah III,3,6,9,12,3,6,9,12,Target Tercapai,Target Tercapai,Target Tercapai,Target Tercapai,1
Penguatan Pengadaan Barang dan Jasa Pemerintah,Indeks Tata Kelola Pengadaan (ITKP),1. Pembangunan dashboard pemanfaatan sistem pengadaan,Dokumen,Biro Umum,0,1,1,1,0,1,1,1,Tidak Ada Target,Target Tercapai,Target Tercapai,Target Tercapai,1
Penguatan Pengadaan Barang dan Jasa Pemerintah,Indeks Tata Kelola Pengadaan (ITKP),2. Pelaksanaan Monitoring pemanfaatan sistem pengadaan TA 2024,Laporan,Biro Umum,1,1,1,1,1,1,1,1,Target Tercapai,Target Tercapai,Target Tercapai,Target Tercapai,1
Penguatan Pengadaan Barang dan Jasa Pemerintah,Indeks Tata Kelola Pengadaan (ITKP),3. Pelaksanaan Monitoring pemanfaatan sistem pengadaan TA 2025,Laporan,Biro Umum,1,2,3,4,1,2,3,4,Target Tercapai,Target Tercapai,Target Tercapai,Target Tercapai,1
Penguatan Pengadaan Barang dan Jasa Pemerintah,Indeks Tata Kelola Pengadaan (ITKP),4. Pelaksanaan kegiatan pemenuhan keterisian formasi JF PPBJ,Laporan,Biro Umum,0,1,1,2,1,2,3,4,Target Tercapai,Target Tercapai,Target Tercapai,Target Tercapai,1
Penguatan Pengadaan Barang dan Jasa Pemerintah,Indeks Tata Kelola Pengadaan (ITKP),5. Pembentukan tim SDM dan Kelembagan UKPBJ yang salah satunya mengkoordinasikan pemenuhan bukti dukung dalam rangka pencapaian kematangan UKPBJ Level 3 (Proaktif),Dokumen,Biro Umum,1,1,1,1,1,1,1,1,Target Tercapai,Target Tercapai,Target Tercapai,Target Tercapai,1
Penguatan Sistem Merit,Indeks Sistem Merit,"1. Melakukan asesmen terhadap pegawai sesuai dengan standar kompetensi jabatan, dan penyusunan profil pegawai berdasarkan kompetensi/talenta dan diperbarui secara berkala",Persen,Biro SDM,0,0,0,0,0.25,0.5,0.75,1,Target Tercapai,Target Tercapai,Target Tercapai,Target Tercapai,1
Penguatan Sistem Merit,Indeks Sistem Merit,2. Menyempurnakan serta melengkapi penyusunan talent pool untuk seluruh pegawai dan pengembangan aplikasi Manajemen Talenta berpedoman pada Peraturan Menteri Pendayagunaan aparatur Negara dan Reformasi Birokrasi Nomor 3 Tahun 2020 tentang Manajemen Talenta Aparatur Sipil Negara,,Biro SDM,0.25,0.5,0.75,1,0,0.5,0.5,1,Tidak Tercapai,Target Tercapai,Tidak Tercapai,Target Tercapai,0.5
Penguatan Sistem Merit,Indeks Sistem Merit,                                                                                                                                                                    ,,,0,0,0,0,0,0,0,0,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,1
Pelaksanaan Pelayanan Publik Prima,Indeks Pelayanan Publik,1. Pelaksanaan Pelayanan Publik Mandiri sesuai Standar Kementerian PANRB  ,Indeks,Direktorat  DIseminasi Statistik,1.1,4.28,4.37,4.6,1109,4.457,457.832,4.85,Target Tercapai,Target Tercapai,Target Tercapai,Target Tercapai,1
Pelaksanaan Pelayanan Publik Prima,Indeks Pelayanan Publik,2. Pelaksanaan Pelayanan Publik berstandar Internasional [ISO 9001:2015],Persen,Direktorat  DIseminasi Statistik,0.4,0.7,1,1,0.5,0.9,1,0,Target Tercapai,Target Tercapai,Target Tercapai,Tidak Tercapai,0.75
Pelaksanaan Pelayanan Publik Prima,Tingkat Kepatuhan Pelayanan Publik,"1. Pelaksanaan Pelayanan Publik Mandiri sesuai
Standar Ombudsman Rl",Persen,Direktorat  DIseminasi Statistik,0.2,0.5,0.9,1,0.2821,0.6154,1,1,Target Tercapai,Target Tercapai,Target Tercapai,Target Tercapai,1
Penguatan Pengelolaan Keuangan dan Aset,Opini BPK,1. Menyusun dan Mengirimkan Laporan Keuangan BPS yang sesuai dengan Standar Akuntansi Pemerintahan secara tepat waktu,Dokumen,Biro Keuangan,1,2,3,4,1,1,1,1,Target Tercapai,Tidak Tercapai,Tidak Tercapai,Tidak Tercapai,0.25
Penguatan Pengelolaan Keuangan dan Aset,Opini BPK,"2. Penyelesaian Menu To Do List, Rekonsiliasi, Monitoring, dan Daftar Rincian pada Aplikasi MonSAKTI tingkat Instansii pada BPS",Persen,Biro Keuangan,0.25,0.5,0.75,1,0.01,0.01,0.01,1,Tidak Tercapai,Tidak Tercapai,Tidak Tercapai,Target Tercapai,0.25
Penguatan Pengelolaan Keuangan dan Aset,Opini BPK,3. Penerapan Pengendalian Intern atas Pelaporan Keuangan (PIPK) TA 2025,Dokumen,Biro Keuangan,0,0,0,1,0,0,0,1,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Target Tercapai,1
Penguatan Pengelolaan Keuangan dan Aset,Opini BPK,4. Pelaksanaan pembinaan dalam pelaporan keuangan tingkat wilayah dan satker dalam bentuk Workshop Penyusunan Laporan Keuangan,Kegiatan,Biro Keuangan,1,1,2,2,1,0,1,1,Target Tercapai,Tidak Tercapai,Tidak Tercapai,Tidak Tercapai,0.25
Penguatan Pengelolaan Keuangan dan Aset,Tindak Lanjut Rekomendasi BPK,1. Inventarisasi rekomendasi BPK yang belum ditindaklanjuti,Rekomendasi,Inspektorat Wilayah II,0,0,1,1,0,0,1,1,Tidak Ada Target,Tidak Ada Target,Target Tercapai,Target Tercapai,1
Penguatan Pengelolaan Keuangan dan Aset,Tindak Lanjut Rekomendasi BPK,2. Koordinasi dengan satker/unit kerja pemilik rekomendasi,Jumlah Satker/Unit Kerja,Inspektorat Wilayah II,0,0,1,1,0,0,1,1,Tidak Ada Target,Tidak Ada Target,Target Tercapai,Target Tercapai,1
Penguatan Pengelolaan Keuangan dan Aset,Tindak Lanjut Rekomendasi BPK,3. Klarifikasi dan verifikasi dokumen pendukung tindak lanjut,Dokumen,,0,0,1,1,0,0,1,1,Tidak Ada Target,Tidak Ada Target,Target Tercapai,Target Tercapai,1
Penguatan Pengelolaan Keuangan dan Aset,Tindak Lanjut Rekomendasi BPK,4. Evaluasi status tindak lanjut dan identifikasi hambatan,Rekomendasi,,0,0,1,1,0,0,80.13,0.8204,Tidak Ada Target,Tidak Ada Target,Target Tercapai,Tidak Tercapai,0.75
Penguatan Pengelolaan Keuangan dan Aset,Tindak Lanjut Rekomendasi BPK,5. Penyampaian hasil pemantauan kepada pimpinan dan BPK,Laporan,,0,0,1,1,0,0,1,1,Tidak Ada Target,Tidak Ada Target,Target Tercapai,Target Tercapai,1
Penguatan Pengelolaan Keuangan dan Aset,Tindak Lanjut Rekomendasi BPK,6. Updating Dashboard Pemantauan TL Rekomendasi BPK,Rekomendasi,,0,0,1,1,0,0,1,1,Tidak Ada Target,Tidak Ada Target,Target Tercapai,Target Tercapai,1
