no,indikator_utama,hasil_2025,target_2026,catatan_lhe,rencana_aksi_desc,pic_koordinator,pic_pelaksana
1,Nilai SAKIP,"78,89","79,03","Selanjutnya, hasil pengukuran kinerja berkala perlu dioptimalkan pemanfaatannya sebagai instrumen pengendalian manajemen kinerja, tidak hanya untuk memenuhi kewajiban pelaporan administratif, tetapi sebagai dasar pelaksanaan forum evaluasi kinerja berbasis data, pengambilan keputusan manajerial, penyesuaian strategi, serta perbaikan berkelanjutan atas pelaksanaan program dan kegiatan. Dengan demikian, sistem pelaporan kinerja diharapkan mampu memberikan nilai tambah yang nyata terhadap peningkatan kinerja organisasi secara menyeluruh.",2. Pemeriksaan substansi LAKIN Unit Kerja dan Satker BPS Provinsi,Biro Perencanaan dan Kerjasama,"1.Biro Perencanaan dan Kerjasama
2. Dir SIS"
1,Nilai SAKIP,"78,89","79,03","Selanjutnya, hasil pengukuran kinerja berkala perlu dioptimalkan pemanfaatannya sebagai instrumen pengendalian manajemen kinerja, tidak hanya untuk memenuhi kewajiban pelaporan administratif, tetapi sebagai dasar pelaksanaan forum evaluasi kinerja berbasis data, pengambilan keputusan manajerial, penyesuaian strategi, serta perbaikan berkelanjutan atas pelaksanaan program dan kegiatan. Dengan demikian, sistem pelaporan kinerja diharapkan mampu memberikan nilai tambah yang nyata terhadap peningkatan kinerja organisasi secara menyeluruh.",3. Pembinaan SAKIP ,Biro Perencanaan dan Kerjasama,"1.Biro Perencanaan dan Kerjasama
2. Dir SIS"
1,Nilai SAKIP,"78,89","79,03","Instansi disarankan mengidentifikasi penyebab utama terulangnya permasalahan dan menetapkan upaya perbaikan dengan tindakan nyata yang disertai indikator keberhasilan. Selain itu, perkembangan pelaksanaan perbaikan perlu dipantau dan didokumentasikan secara berkala untuk memastikan permasalahan dapat diselesaikan dan tidak kembali terulang.",1. Penguatan implementasi Manajemen Risiko di BPS,Biro Perencanaan dan Kerjasama,Biro Perencanaan dan Kerjasama
2,Capaian IKU Kementerian/Lembaga,100,100,Seluruh IKU tercapai 100%,1. Melakukan monitoring capaian kinerja BPS triwulanan,Biro Perencanaan dan Kerjasama,Biro Perencanaan dan Kerjasama
2,Capaian IKU Kementerian/Lembaga,100,100,Seluruh IKU tercapai 100%,2. Penyusunan Laporan Kinerja Triwulanan BPS TA 2026,Biro Perencanaan dan Kerjasama,Biro Perencanaan dan Kerja Sama
3,Penguatan Implementasi SPIP,3.61,3.75,"A. Hasil Evaluasi atas Penetapan Tujuan 
1. Penilaian Sasaran Strategis 
a. Penetapan sasaran strategis BPS sudah tepat dan selaras dengan Pembangunan Nasional. Namun, sasaran strategis BPS Tahun 2025-2029 belum mengakomodir mandat BPS pada regulasi terbaru, yaitu Instruksi Presiden Nomor 4 Tahun 2025 tentang DTSEN dan Peraturan Presiden Nomor 115 Tahun 2025 tentang Tata Kelola Penyelenggaraan Program MBG. 
b. Terdapat indikator sasaran strategis yang belum tepat karena indikator tidak jelas/tidak menggambarkan realisasi peningkatan penyelenggaraan SSN yang baik dan terpadu. 
2. Penilaian Sasaran Program 
a. Belum seluruh ssaran program PPIS memiliki indikator yang tepat dan target yang baik. 
b. Belum seluruh sasaran program Dukungan Manajemen memiliki indikator yang tepat dan target yang baik. 
3. Penilaian Sasaran Kegiatan Sebanyak 1 sasaran kegiatan ""Tersedianya Data 5 Sasaran Visi Indonesia Emas dan 45 Indikator Utama Pembangunan Statistik Harga"" tidak memiliki target indikator kinerja tahun 2025 dan akan mulai ditargetkan pada tahun 2026. 
4. Penilaian Sasaran Rincian Output (RO) Berdasarkan hasil evaluasi, terdapat 18 RO yang belum selaras dengan sasaran kegiatan dan belum seluruh sasaran RO memiliki indikator yang tepat dan target yang baik. 

B. Komponen Struktur dan Proses Hasil evaluasi atas Penyelenggaraan MR, terkait dengan unsur Pengelolaan Risiko pada SPIP sebagai berikut: 
a. BPS belum mengidentifikasi risiko strategis kelembagaan. 
b. BPS telah mengidentifikasi dan menganalisis risiko strategis UKE I. Namun, monitoring dan evaluasi terhadap penyelenggaraan risiko strategis UKE I belum dilakukan. 
c. Satuan kerja di lingkungan Sekretaris Utama BPS belum melakukan identifikasi risiko fraud.
",1. Berkoordinasi dengan Tim Penyusunan Rencana terkait reviu Renstra BPS,Biro Perencanaan dan Kerjasama,Tim Penyusunan Rencana
3,Penguatan Implementasi SPIP,3.61,3.75,"A. Hasil Evaluasi atas Penetapan Tujuan 
1. Penilaian Sasaran Strategis 
a. Penetapan sasaran strategis BPS sudah tepat dan selaras dengan Pembangunan Nasional. Namun, sasaran strategis BPS Tahun 2025-2029 belum mengakomodir mandat BPS pada regulasi terbaru, yaitu Instruksi Presiden Nomor 4 Tahun 2025 tentang DTSEN dan Peraturan Presiden Nomor 115 Tahun 2025 tentang Tata Kelola Penyelenggaraan Program MBG. 
b. Terdapat indikator sasaran strategis yang belum tepat karena indikator tidak jelas/tidak menggambarkan realisasi peningkatan penyelenggaraan SSN yang baik dan terpadu. 
2. Penilaian Sasaran Program 
a. Belum seluruh ssaran program PPIS memiliki indikator yang tepat dan target yang baik. 
b. Belum seluruh sasaran program Dukungan Manajemen memiliki indikator yang tepat dan target yang baik. 
3. Penilaian Sasaran Kegiatan Sebanyak 1 sasaran kegiatan ""Tersedianya Data 5 Sasaran Visi Indonesia Emas dan 45 Indikator Utama Pembangunan Statistik Harga"" tidak memiliki target indikator kinerja tahun 2025 dan akan mulai ditargetkan pada tahun 2026. 
4. Penilaian Sasaran Rincian Output (RO) Berdasarkan hasil evaluasi, terdapat 18 RO yang belum selaras dengan sasaran kegiatan dan belum seluruh sasaran RO memiliki indikator yang tepat dan target yang baik. 

B. Komponen Struktur dan Proses Hasil evaluasi atas Penyelenggaraan MR, terkait dengan unsur Pengelolaan Risiko pada SPIP sebagai berikut: 
a. BPS belum mengidentifikasi risiko strategis kelembagaan. 
b. BPS telah mengidentifikasi dan menganalisis risiko strategis UKE I. Namun, monitoring dan evaluasi terhadap penyelenggaraan risiko strategis UKE I belum dilakukan. 
c. Satuan kerja di lingkungan Sekretaris Utama BPS belum melakukan identifikasi risiko fraud.
",2. Melakukan pengelolaan risiko di tingkat Lembaga dan Unit Kerja Eselon I yang didalamnya memuat identifikasi risiko fraud ,Biro Perencanaan dan Kerjasama,Bagian Manajemen Risiko dan Dukungan Strategis Pimpinan
3,Penguatan Implementasi SPIP,3.61,3.75,"A. Hasil Evaluasi atas Penetapan Tujuan 
1. Penilaian Sasaran Strategis 
a. Penetapan sasaran strategis BPS sudah tepat dan selaras dengan Pembangunan Nasional. Namun, sasaran strategis BPS Tahun 2025-2029 belum mengakomodir mandat BPS pada regulasi terbaru, yaitu Instruksi Presiden Nomor 4 Tahun 2025 tentang DTSEN dan Peraturan Presiden Nomor 115 Tahun 2025 tentang Tata Kelola Penyelenggaraan Program MBG. 
b. Terdapat indikator sasaran strategis yang belum tepat karena indikator tidak jelas/tidak menggambarkan realisasi peningkatan penyelenggaraan SSN yang baik dan terpadu. 
2. Penilaian Sasaran Program 
a. Belum seluruh ssaran program PPIS memiliki indikator yang tepat dan target yang baik. 
b. Belum seluruh sasaran program Dukungan Manajemen memiliki indikator yang tepat dan target yang baik. 
3. Penilaian Sasaran Kegiatan Sebanyak 1 sasaran kegiatan ""Tersedianya Data 5 Sasaran Visi Indonesia Emas dan 45 Indikator Utama Pembangunan Statistik Harga"" tidak memiliki target indikator kinerja tahun 2025 dan akan mulai ditargetkan pada tahun 2026. 
4. Penilaian Sasaran Rincian Output (RO) Berdasarkan hasil evaluasi, terdapat 18 RO yang belum selaras dengan sasaran kegiatan dan belum seluruh sasaran RO memiliki indikator yang tepat dan target yang baik. 

B. Komponen Struktur dan Proses Hasil evaluasi atas Penyelenggaraan MR, terkait dengan unsur Pengelolaan Risiko pada SPIP sebagai berikut: 
a. BPS belum mengidentifikasi risiko strategis kelembagaan. 
b. BPS telah mengidentifikasi dan menganalisis risiko strategis UKE I. Namun, monitoring dan evaluasi terhadap penyelenggaraan risiko strategis UKE I belum dilakukan. 
c. Satuan kerja di lingkungan Sekretaris Utama BPS belum melakukan identifikasi risiko fraud.
",3. Evaluasi berkala atas penerapan kebijakan peraturan dilingkungan BPS ,Biro Perencanaan dan Kerjasama,Bagian Manajemen Risiko dan Dukungan Strategis Pimpinan
3,Penguatan Implementasi SPIP,3.61,3.75,"A. Hasil Evaluasi atas Penetapan Tujuan 
1. Penilaian Sasaran Strategis 
a. Penetapan sasaran strategis BPS sudah tepat dan selaras dengan Pembangunan Nasional. Namun, sasaran strategis BPS Tahun 2025-2029 belum mengakomodir mandat BPS pada regulasi terbaru, yaitu Instruksi Presiden Nomor 4 Tahun 2025 tentang DTSEN dan Peraturan Presiden Nomor 115 Tahun 2025 tentang Tata Kelola Penyelenggaraan Program MBG. 
b. Terdapat indikator sasaran strategis yang belum tepat karena indikator tidak jelas/tidak menggambarkan realisasi peningkatan penyelenggaraan SSN yang baik dan terpadu. 
2. Penilaian Sasaran Program 
a. Belum seluruh ssaran program PPIS memiliki indikator yang tepat dan target yang baik. 
b. Belum seluruh sasaran program Dukungan Manajemen memiliki indikator yang tepat dan target yang baik. 
3. Penilaian Sasaran Kegiatan Sebanyak 1 sasaran kegiatan ""Tersedianya Data 5 Sasaran Visi Indonesia Emas dan 45 Indikator Utama Pembangunan Statistik Harga"" tidak memiliki target indikator kinerja tahun 2025 dan akan mulai ditargetkan pada tahun 2026. 
4. Penilaian Sasaran Rincian Output (RO) Berdasarkan hasil evaluasi, terdapat 18 RO yang belum selaras dengan sasaran kegiatan dan belum seluruh sasaran RO memiliki indikator yang tepat dan target yang baik. 

B. Komponen Struktur dan Proses Hasil evaluasi atas Penyelenggaraan MR, terkait dengan unsur Pengelolaan Risiko pada SPIP sebagai berikut: 
a. BPS belum mengidentifikasi risiko strategis kelembagaan. 
b. BPS telah mengidentifikasi dan menganalisis risiko strategis UKE I. Namun, monitoring dan evaluasi terhadap penyelenggaraan risiko strategis UKE I belum dilakukan. 
c. Satuan kerja di lingkungan Sekretaris Utama BPS belum melakukan identifikasi risiko fraud.
",4. Melaksanakan Penilaian Mandiri SPIP BPS,Biro Perencanaan dan Kerjasama,Bagian Manajemen Risiko dan Dukungan Strategis Pimpinan
3,Penguatan Implementasi SPIP,3.61,3.75,"A. Hasil Evaluasi atas Penetapan Tujuan 
1. Penilaian Sasaran Strategis 
a. Penetapan sasaran strategis BPS sudah tepat dan selaras dengan Pembangunan Nasional. Namun, sasaran strategis BPS Tahun 2025-2029 belum mengakomodir mandat BPS pada regulasi terbaru, yaitu Instruksi Presiden Nomor 4 Tahun 2025 tentang DTSEN dan Peraturan Presiden Nomor 115 Tahun 2025 tentang Tata Kelola Penyelenggaraan Program MBG. 
b. Terdapat indikator sasaran strategis yang belum tepat karena indikator tidak jelas/tidak menggambarkan realisasi peningkatan penyelenggaraan SSN yang baik dan terpadu. 
2. Penilaian Sasaran Program 
a. Belum seluruh ssaran program PPIS memiliki indikator yang tepat dan target yang baik. 
b. Belum seluruh sasaran program Dukungan Manajemen memiliki indikator yang tepat dan target yang baik. 
3. Penilaian Sasaran Kegiatan Sebanyak 1 sasaran kegiatan ""Tersedianya Data 5 Sasaran Visi Indonesia Emas dan 45 Indikator Utama Pembangunan Statistik Harga"" tidak memiliki target indikator kinerja tahun 2025 dan akan mulai ditargetkan pada tahun 2026. 
4. Penilaian Sasaran Rincian Output (RO) Berdasarkan hasil evaluasi, terdapat 18 RO yang belum selaras dengan sasaran kegiatan dan belum seluruh sasaran RO memiliki indikator yang tepat dan target yang baik. 

B. Komponen Struktur dan Proses Hasil evaluasi atas Penyelenggaraan MR, terkait dengan unsur Pengelolaan Risiko pada SPIP sebagai berikut: 
a. BPS belum mengidentifikasi risiko strategis kelembagaan. 
b. BPS telah mengidentifikasi dan menganalisis risiko strategis UKE I. Namun, monitoring dan evaluasi terhadap penyelenggaraan risiko strategis UKE I belum dilakukan. 
c. Satuan kerja di lingkungan Sekretaris Utama BPS belum melakukan identifikasi risiko fraud.
",5. Melaksanakan Pembinaan SPIP dan Manajemen Risiko,Biro Perencanaan dan Kerjasama,Bagian Manajemen Risiko dan Dukungan Strategis Pimpinan
4,Capaian Prioritas Nasional,99.9,99.93,Catatan: Perlu ditingkatkan kinerja IKSS dan RO yang telah dicapai dengan memperhatikan konsistensi perencanaan dan penganggaran antara RKP dan Renja K/L pada periode tahun berjalan,1. Monitoring capaian RO Prioritas Nasional setiap triwulan,Biro Perencanaan dan Kerjasama,Tim Monitoring dan Evaluasi Program - Lidya Indah Aribi
5,Indeks Perencanaan Pembangunan,"93,90","93,95","Catatan: Hasil Penilaian Indeks Perencanaan Pembangunan Nasional (IPPN) BPS Tahun 2025 menunjukan capaian Predikat sangat baik dengan nilai kumulatif 93,90. Capaian ini mencerminkan kualitas perencanaan yang kuat, namun tetap memerlukan upaya konsistensi serta penyempurnaan pada beberapa  sub indikator agar konerja perencanaan semakin optimal dan berkelanjutan. 

Rekomendasi: (1) BPS perlu meningkatkan konsistensi penerapan Peraturan Menteri PPN/Kepala Bappenas Nomor 1 Tahun 2021, khususnya dalam penggunaan Modul Sinkronisasi pada proses penyelarasan data antara sistem KRISNA dan SAKTI pada fase sinkronisasi tahun pelaksanaan. Konsistensi ini penting untuk memastikan kesesuaian data perencanaan dan penganggaran secara sistematis. (2) Pembaruan data pada sistem KRISNA dan SAKTI perlu dilakukan secara rutin setiap triwulan apabila terdapat perubahan dokumen perencanaan dan penganggaran. Penyesuaian ini mencakup dinamika kebijakan, penyempurnaan Renja, serta perubahan struktur program dan kegiatan yang berdampak pada muatan perencanaan, alokasi anggaran, dan informasi kinerja (Visi, Misi, Sasaran Strategis, Sasaran Program, dan Sasaran Kegiatan), guna menjaga konsistensi antara Renstra, Renja, dan RKA BPS. (3) Realisasi dan perubahan alokasi pada Rincian Output (RO), khususnya RO Prioritas, agar menjaga konsistensi antara DIPA akhir, penyesuaia anggaran pada tahun pelaksanaan, dan alokasi yang tercantum pada Rencana Kerja Pemerintah )RKP). Deviasi perhitungan alokasi diupayakan tidak melebihi 10%. Apabila terdapat penyesuaian yang disepakati dalam Berita Acara, maka penyesuaian tersebut perlu ditindaklanjuti dan tercermin secara konsisten pada seluruh dokumen dan sistem terkait",1. Evaluasi dan internalisasi kepada tim perencanaan dan pelaksanaan anggaran terkait hasil penilaian Indeks Perencanaan Pembangunan Nasional Tahun 2026 khususnya untuk catatan yang perlu ditindaklanjuti.,Biro Perencanaan dan Kerjasama,Tim Konsolidasi - Dwi Wulan
5,Indeks Perencanaan Pembangunan,"93,90","93,95","Catatan: Hasil Penilaian Indeks Perencanaan Pembangunan Nasional (IPPN) BPS Tahun 2025 menunjukan capaian Predikat sangat baik dengan nilai kumulatif 93,90. Capaian ini mencerminkan kualitas perencanaan yang kuat, namun tetap memerlukan upaya konsistensi serta penyempurnaan pada beberapa  sub indikator agar konerja perencanaan semakin optimal dan berkelanjutan. 

Rekomendasi: (1) BPS perlu meningkatkan konsistensi penerapan Peraturan Menteri PPN/Kepala Bappenas Nomor 1 Tahun 2021, khususnya dalam penggunaan Modul Sinkronisasi pada proses penyelarasan data antara sistem KRISNA dan SAKTI pada fase sinkronisasi tahun pelaksanaan. Konsistensi ini penting untuk memastikan kesesuaian data perencanaan dan penganggaran secara sistematis. (2) Pembaruan data pada sistem KRISNA dan SAKTI perlu dilakukan secara rutin setiap triwulan apabila terdapat perubahan dokumen perencanaan dan penganggaran. Penyesuaian ini mencakup dinamika kebijakan, penyempurnaan Renja, serta perubahan struktur program dan kegiatan yang berdampak pada muatan perencanaan, alokasi anggaran, dan informasi kinerja (Visi, Misi, Sasaran Strategis, Sasaran Program, dan Sasaran Kegiatan), guna menjaga konsistensi antara Renstra, Renja, dan RKA BPS. (3) Realisasi dan perubahan alokasi pada Rincian Output (RO), khususnya RO Prioritas, agar menjaga konsistensi antara DIPA akhir, penyesuaia anggaran pada tahun pelaksanaan, dan alokasi yang tercantum pada Rencana Kerja Pemerintah )RKP). Deviasi perhitungan alokasi diupayakan tidak melebihi 10%. Apabila terdapat penyesuaian yang disepakati dalam Berita Acara, maka penyesuaian tersebut perlu ditindaklanjuti dan tercermin secara konsisten pada seluruh dokumen dan sistem terkait",2. Peningkatan kualitas dokumen perencanaan BPS,,
6,Indeks Kualitas Kebijakan,87.4,87.5,Catatan: Fully Participant (Sangat Baik),1. Kebijakan disusun berdasarkan data dan informasi yang valid (kajian/telaahan/penelitian/analisis kebijakan),Biro Hukum dan Organisasi,Surya Ramadhana
6,Indeks Kualitas Kebijakan,87.4,87.5,Catatan: Fully Participant (Sangat Baik),2. Pemangku kepentingan terlibat dalam perumusan kebijakan,Biro Hukum dan Organisasi,
6,Indeks Kualitas Kebijakan,87.4,87.5,"Rekomendasi: Peningkatan kualitas kebijakan pada dimensi perencanaan, implementasi, evaluasi dan transparansi dan partisipasi publik",3. Analisis dampak kebijakan dilakukan sebelum implementasi,Biro Hukum dan Organisasi,
6,Indeks Kualitas Kebijakan,87.4,87.5,"Rekomendasi: Peningkatan kualitas kebijakan pada dimensi perencanaan, implementasi, evaluasi dan transparansi dan partisipasi publik",4. Kebijakan memiliki kejelasan koordinasi dan komunikasi dalam pelaksanaannya,Biro Hukum dan Organisasi,
6,Indeks Kualitas Kebijakan,87.4,87.5,"Rekomendasi: Peningkatan kualitas kebijakan pada dimensi perencanaan, implementasi, evaluasi dan transparansi dan partisipasi publik",5. Kebijakan dapat diimplementasikan secara efektif di lapangan,Biro Hukum dan Organisasi,
6,Indeks Kualitas Kebijakan,87.4,87.5,"Rekomendasi: Peningkatan kualitas kebijakan pada dimensi perencanaan, implementasi, evaluasi dan transparansi dan partisipasi publik",6. Apakah ada mekanisme pengawasan dan akuntabilitas dalam pelaksanaan kebijakan,Biro Hukum dan Organisasi,
6,Indeks Kualitas Kebijakan,87.4,87.5,"Rekomendasi: Peningkatan kualitas kebijakan pada dimensi perencanaan, implementasi, evaluasi dan transparansi dan partisipasi publik",7. Kebijakan dievaluasi untuk perbaikan berkelanjutan,Biro Hukum dan Organisasi,
6,Indeks Kualitas Kebijakan,87.4,87.5,"Rekomendasi: Peningkatan kualitas kebijakan pada dimensi perencanaan, implementasi, evaluasi dan transparansi dan partisipasi publik",8. Kebijakan memiliki dampak yang terukur bagi masyarakat,Biro Hukum dan Organisasi,
6,Indeks Kualitas Kebijakan,87.4,87.5,"Rekomendasi: Peningkatan kualitas kebijakan pada dimensi perencanaan, implementasi, evaluasi dan transparansi dan partisipasi publik",9. Kebijakan selaras dengan kebijakan lain yang relevan,Biro Hukum dan Organisasi,
6,Indeks Kualitas Kebijakan,87.4,87.5,"Rekomendasi: Peningkatan kualitas kebijakan pada dimensi perencanaan, implementasi, evaluasi dan transparansi dan partisipasi publik",10. Informasi kebijakan dapat diakses oleh publik,Biro Hukum dan Organisasi,
6,Indeks Kualitas Kebijakan,87.4,87.5,"Rekomendasi: Peningkatan kualitas kebijakan pada dimensi perencanaan, implementasi, evaluasi dan transparansi dan partisipasi publik",11. Mekanisme bagi masyarakat untuk memberikan masukan atau mengajukan keberatan,Biro Hukum dan Organisasi,
7,Indeks Reformasi Hukum,99,99.1,"Catatan: melebihi target
Rekomendasi: -",1. Tersedianya laporan penyusunan Peraturan Perundang-undangan dan produk hukum lainnya,Biro Hukum dan Organisasi,Arcci Surya Adhitya Sriyantoro
7,Indeks Reformasi Hukum,99,99.1,"Catatan: melebihi target
Rekomendasi: -",2. Tersedianya laporan pembinaan Perancang Peraturan Perundang-undangan,Biro Hukum dan Organisasi,
7,Indeks Reformasi Hukum,99,99.1,"Catatan: melebihi target
Rekomendasi: -",3. Penyusunan laporan tindak lanjut hasil analisis dan evaluasi Peraturan Perundang-undangan,Biro Hukum dan Organisasi,
7,Indeks Reformasi Hukum,99,99.1,"Catatan: melebihi target
Rekomendasi: -",4. Penyusunan Laporan Perencanaan Kebijakan,Biro Hukum dan Organisasi,
7,Indeks Reformasi Hukum,99,99.1,"Catatan: melebihi target
Rekomendasi: -",5. Tersedianya Laporan Implementasi Kebijakan,Biro Hukum dan Organisasi,
