indikator_utama,penyesuaian_tema,rencana_aksi_desc,satuan,pic_pelaksana,tw4_kendala,tw4_solusi,tw1_target,tw1_capaian,tw1_status,tw2_target,tw2_capaian,tw2_status,tw3_target,tw3_capaian,tw3_status,tw4_target,tw4_capaian,tw4_status
RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,Melakukan kajian penyusunan indikator dimensi kesehatan dalam penghitungan kemiskinan multidimensi,Laporan,DAPS,,,0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,1.0,100.0,Tercapai
RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,"Melakukan survei Sosial Ekonomi Nasional Maret dan September 2025  

Melakukan Penyusunan publikasi statistik kesehatan hasil Susenas 2025 


","Persen 
Buku 

Publikasi",Dir. Kesra,Penyusunan tabel dan ulasan membutuhkan waktu yang cukup lama karena berbenturan dengan persiapan Susenas periode berikutnya dan tugas terkait DTSEN,"Dipertimbangkan untuk publikasi tahun berikutnya tidak disertai ulasan, hanya tabel dan ringkasan eksekutif",0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,1.0,100.0,Tercapai
RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,"Melakukan/mengikuti koordinasi dengan Kementerian Kesehatan, Kemenko PMK, dan K/L terkait lainnya",Persen,Dir. Kesra,Belum disepakati mekanisme pemanfaatan data hasil pemadanan SITB dengan DTSEN oleh KemenkoPMK,Akan dilaksanakan pertemuan tingkat eselon II pada bulan Januari 2026 untuk menyepakati mekanisme pemadanan dan pemanfaatan data SITB dan DTSEN untuk penanganan TBC,0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,0.3,100.0,Tercapai,1.0,70.0,Belum Tercapai Pada TW Ini
RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,Memadankan data tenaga kesehatan dengan data yang tersedia di DTSEN,laporan/data,Dir. Kesra,Permohonan pemadanan perlu dilengkapi dengan analisis kebutuhan pemadanan data,PJK (Direktorat Statistik Kesejahteraan Rakyat) menyusun analisis kebutuhan pemadanan data,0.5,100.0,Tercapai,1.0,100.0,Tercapai,1.0,100.0,Tercapai,1.0,90.0,Belum Tercapai Pada TW Ini
RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,Melakukan pemadanan data JKN dengan data DTSEN dan melakukan pemutahiran,Data,Dir. Kesra,PKS dengan BPJS Kesehatan telah disepakati dan akan dilanjutkan proses harmonisasi dan penandatanganan,PKS dengan BPJS Kesehatan dalam proses reviu oleh Biro Humas dan Hukum BPS,0.1,100.0,Tercapai,0.5,100.0,Tercapai,0.75,100.0,Tercapai,1.0,90.0,Belum Tercapai Pada TW Ini
RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,Melakukan pengumpulan data Pemutakhiran Data Perkembangan Desa 2025 (Potensi Desa 2025),set data,Hansos,-,-,0.1,100.0,Tercapai Melebihi Target,0.5,100.0,Tercapai Melebihi Target,0.75,100.0,Tercapai Melebihi Target,1.0,100.0,Tercapai
RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,Diseminasi data kesehatan pada website BPS sesuai jadwal rilis yang ditetapkan,Persentase,DDS,Diperlukan ketelitian dan kehatihatian agar waktu rilis sesuai dengan waktunya. ,"Perlu Kerjasama antara anggota, ketua tim dan Struktural untuk monitoring secara berkala",0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,100.0,100.0,Tercapai
RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,RB Mendorong Peningkatan Kualitas dan Akses Layanan Kesehatan,"Melakukan:
 TW1: metodologi & SOP selesai.
 TW2: estimasi kabupaten/kota + ǪC.
 TW3: validasi lapangan, peer review, policy brief
 TW4: publikasi, diseminasi..
Mempublikasikan angka resmi hasil kajian SAE indikator demografi tingkat kabupaten/kota.","- Dokumen
 - Paket estimasi
 - Wilayah validasi
 - Publikasi

Publikasi",Duknaker,Beberapa indikator masih >25% RSE.,Insersi model lanjutan & dokumentasi transparansi metode.,0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini
RB Mendukung Ketahanan Pangan Nasional,RB Mendukung Ketahanan Pangan Nasional,Melakukan pengolahan data dan analisis untuk menjawab fenomena kecukupan dan ketahanan pangan bagi anak,Publikasi,DAPS,Terbatasnya cakupan penelitian hasil kualitatif karena waktu penelitian indepth study terbatas,Memaksimalkan kegiatan indepth study dan memanfaatkan study literatur terkait,1.0,100.0,Tercapai,1.0,100.0,Tercapai,1.0,100.0,Tercapai,1.0,100.0,Tercapai
RB Mendukung Ketahanan Pangan Nasional,RB Mendukung Ketahanan Pangan Nasional,Melakukan pengolahan data dan analisis untuk menjawab fenomena kebiasaan merokok dan ketahanan pangan keluarga pada berbagai kelas ekonomi,Publikasi,DAPS,,,1.0,100.0,Tercapai,1.0,0.0,Belum Tercapai Pada TW Ini,1.0,0.0,Belum Tercapai Pada TW Ini,1.0,0.0,Belum Tercapai Pada TW Ini
RB Mendukung Ketahanan Pangan Nasional,RB Mendukung Ketahanan Pangan Nasional,Internalisasi Penjaminan Kualitas melalui Quality Gates untuk penanggung jawab/tim pada kegiatan statistik yang mendukung ketahanan pangan nasional,Laporan,DAPS,,,0.0,100.0,Tercapai Lebih Awal,1.0,100.0,Tercapai,1.0,100.0,Tercapai,1.0,0.0,Belum Tercapai Pada TW Ini
RB Mendukung Ketahanan Pangan Nasional,RB Mendukung Ketahanan Pangan Nasional,Monitoring dan Evaluasi Implementasi Penjaminan Kualitas melalui Quality Gates untuk kegiatan statistik yang mendukung ketahanan pangan nasional,Laporan,DAPS,Masih terdapat gates yang sedang berjalan hingga desember 2025,penulisan laporan Quality Gates dibatasi hingga gates yang telah berjalan sampai awal desember 2025. untuk gates yang masih berjalan diberi keterangan TBD (to be Discussed),0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,1.0,100.0,Tercapai
RB Mendukung Ketahanan Pangan Nasional,RB Mendukung Ketahanan Pangan Nasional,Melakukan pemeriksaan data melalui pengecekan anomali data pada survei MBG yang mendukung ketahanan pangan nasional,Laporan,DAPS,Terdapat beberapa indikator dari PJK yang formulanya masih keliru saat anomali sudah dipasang di dashboard fasih,Berkoordinasi dengan PJK dan melakukan perbaikan formula indikator anomali,0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,1.0,100.0,Tercapai
RB Mendukung Ketahanan Pangan Nasional,RB Mendukung Ketahanan Pangan Nasional,Melakukan pengolahan data dan analisis untuk menjawab isu terkini terkait kesejahteraan petani,Publikasi,DAPS,,,0.0,100.0,Tercapai Lebih Awal,0.0,100.0,Tercapai Lebih Awal,0.0,100.0,Tercapai Lebih Awal,1.0,100.0,Tercapai
RB Mendukung Ketahanan Pangan Nasional,RB Mendukung Ketahanan Pangan Nasional,Melakukan Survei Kesejahteraan Petani (SKP) Tahun 2025,Publikasi dan bahan rilis,SP2K,"- Pelaksanaan lapangan di beberapa daerah sulit tidak dapat dilaksanakan
- Adanya anomali data hasil pendataan lapangan
- Masih adanya data pembanding dari hasil survei lain yang perlu dibandingkan dengan hasil SKP2025","- Dilakukan penggantian sampel berdasarkan usulan yang disampaikan oleh daerah
- Pelaksanaan rapat koordinasi tentang perbaikan anomali dan kunjungan supervisi pusat ke daerah
- Dibuat daftar koherensi data SKP2025 dengan data pembanding dari sumber lain dan didiskusikan dengan daerah",0.0,100.0,Tercapai Lebih Awal,0.0,100.0,Tercapai Lebih Awal,0.0,0.0,Belum Ada Target Pada TW Ini,1.0,100.0,Tercapai
RB Mendukung Ketahanan Pangan Nasional,RB Mendukung Ketahanan Pangan Nasional,Menyediakan data pemotongan dan rata-rata produksi per jenis ternak sesuai dengan LPTB kepada Setditjen PKH-Kementan dan Badan Pangan Nasional secara bulanan.,Laporan Pengiriman Data/Tabel terkait,SP2K,"- Pemasukan dokumen pemotongan bulanan dari Dinas yang menangani fungsi peternakan di KB/Kota masih sering terlambat dan tertunda beberapa bulan.
- Finalisasi angka tetap bulanan tertentu (B) masih perlu didorong dan dipenuhi sesuai komitmen bersama pada periode akhir bulan B+2.","- Penguatan tindak lanjut Koordinasi, Komunikasi, dan Diplomasi (KKD) melalui Setditjen PKH, Kementan RI.
- Peningkatan monev pemasukan dokumen bulanan dan mendorong BPS Kab/Kota meningkatkan hubungan kerja dan berkolaborasi dgn Dinas terkait.",0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,1.0,100.0,Tercapai,1.0,100.0,Tercapai
RB Mendukung Ketahanan Pangan Nasional,RB Mendukung Ketahanan Pangan Nasional,Melakukan Survei Konversi Gabah ke Beras (SKGB) Tahap I Tahun 2025,Laporan,STPHP,"a.	Mekanisme penentuan kriteria data yang tidak layak (non-eligible) untuk diolah lebih lanjut memerlukan waktu yang lebih panjang. Hal ini disebabkan oleh proses evaluasi data yang dilakukan secara bertahap, melibatkan penelaahan mikrodata, klarifikasi dengan daerah, serta pembahasan internal lintas tim untuk memastikan keputusan yang diambil tepat.
b.	Ditemukan anomali pada sebagian data hasil pencacahan, khususnya terkait proses penggilingan di lapangan. Pada beberapa penggilingan, proses produksi tidak memisahkan gabah kering giling (GKG), melainkan langsung mengolah gabah kering panen (GKP) menjadi beras atau beras pecah kulit. Kondisi tersebut menyebabkan angka konversi pada sampel terkait tidak dapat digunakan secara bersamaan dengan angka konversi GKG ke beras lainnya.
c.	Hasil evaluasi yang diperkuat melalui FGD dan indepth study menunjukkan bahwa faktor eksternal, seperti kondisi musim tanam, kebijakan penyerapan gabah any quality, serta praktik panen dan penggilingan di lapangan, turut memengaruhi angka konversi.
","a.	Perlu dilakukan penegasan dan pendokumentasian kriteria sampel eligible dan non-eligible secara lebih rinci dan operasional.
b.	Diperlukan penyempurnaan instrumen pencacahan, khususnya kuesioner SKGB, agar mampu menangkap variasi proses penggilingan yang terjadi di lapangan, termasuk penggilingan yang hanya menghasilkan beras pecah kulit atau yang langsung menggiling dari GKP ke beras. Penyempurnaan ini diharapkan dapat mendukung proses evaluasi dan pengolahan data secara lebih akurat.
c.	Perlu dipertimbangkan untuk penguatan SOP pelaksanaan SKGB, terutama terkait prioritas pengambilan sampel dan jumlah sampel minimum gabah untuk pengukuran angka konversi.
d.	Diperlukan pelaksanaan SKGB pada dua musim dan mempertimbangkan dinamika kebijakan yang berlaku, agar hasil yang diperoleh lebih representatif.
",0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,1.0,100.0,Tercapai,2.0,100.0,Tercapai
RB Mendukung Ketahanan Pangan Nasional,RB Mendukung Ketahanan Pangan Nasional,Menyediakan data produksi padi sesuai dengan Kerangka Sampel Area kepada Perum BULOG secara bulanan,Laporan Pengiriman Data,STPHP,Tidak ada kendala,-,0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,3.0,100.0,Tercapai,6.0,100.0,Tercapai
RB Mendukung Ketahanan Pangan Nasional,RB Mendukung Ketahanan Pangan Nasional,Melakukan penghitungan klasifikasi level harga dan level IPH guna mendapatkan analisis kuadran IPH komoditas pangan strategis.,Dokumen,DSH,-,-,0.0,0.0,Belum Ada Target Pada TW Ini,1.0,100.0,Tercapai,2.0,50.0,Belum Tercapai Pada TW Ini,3.0,33.33333333333333,Belum Tercapai Pada TW Ini
RB Mendukung Ketahanan Pangan Nasional,RB Mendukung Ketahanan Pangan Nasional,Melakukan pengembangan dan penyempurnaan dashboard IPH dalam hal pengolahan dan diseminasi proxy inflasi untuk komoditas pangan strategis.,Dokumen,DSH,Belum ada feedback dari Tim SIS terkait permintaan pengembangan Dashboard IPH,Tim Harga masih terus melakukan follow up ke Tim SIS untuk dapat melakukan pengembangan Dashboard IPH,0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,1.0,0.0,Belum Tercapai Pada TW Ini
RB Mendukung Ketahanan Pangan Nasional,RB Mendukung Ketahanan Pangan Nasional,Melakukan penghitungan simulasi dan uji statistik terhadap perluasan cakupan IPH komoditas pangan strategis yang mendukung akurasi dan konsistensi data.,Dokumen,DSH,-,-,0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,1.0,80.0,Belum Tercapai Pada TW Ini
RB Mendukung Ketahanan Pangan Nasional,RB Mendukung Ketahanan Pangan Nasional,Melakukan survei konsumsi bahan pokok non rumah tangga (VBPNRT) tahun 2025,Laporan,KTIP,"- Cleaning kewajaran data volume dan nilai 20 komoditas bahan pokok dan turunannya
- Mencari sumber data pendukung seperti data produksi komoditas tertentu
- Padatnya jadwal rilis publikasi kegiatan rutin tahunan yang bersamaan di bulan Desember","- Berkoordinasi dengan PJK daerah terkait konfirmasi data yang dianggap tidak wajar dan melakukan perbaikan atau microediting 
- Melakukan permintaan data langsung kepada SM terkait data pendukung seperti data produksi, ekspor, impor, stok serta konsumsi rumah tangga terhadap 20 komoditas bahan pokok serta turunannya
- Melakukan strategi pembagian waktu dan prioritas yang seimbang dengan jadwal rilis publikasi tahunan DSKTIP di bulan Desember",0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,1.0,100.0,Tercapai
"RB Mendorong Peningkatan Akses, Kualitas, dan Mutu Pendidikan","RB Mendorong Peningkatan Akses, Kualitas, dan Mutu Pendidikan",Melakukan pengolahan data dan analisis untuk menjawab faktor penentu preferensi orang tua dalam memilih sekolah bagi anak,Publikasi,DAPS,,,0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,1.0,100.0,Tercapai,1.0,0.0,Belum Tercapai Pada TW Ini
"RB Mendorong Peningkatan Akses, Kualitas, dan Mutu Pendidikan","RB Mendorong Peningkatan Akses, Kualitas, dan Mutu Pendidikan",Melakukan pengolahan data dan analisis untuk menjawab tema mismatch antara pendidikan dan pekerjaan bagi pemuda,Publikasi,DAPS,Beberapa konsep definisi dan teori perlu untuk diperbaiki,Menambahkan konsep dan definisi serta teori yang relevan berdasarkan literatur review,0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,1.0,100.0,Tercapai
"RB Mendorong Peningkatan Akses, Kualitas, dan Mutu Pendidikan","RB Mendorong Peningkatan Akses, Kualitas, dan Mutu Pendidikan",Melakukan pengolahan data dan analisis untuk menjawab tema kemudahan akses tenaga pendidik,Publikasi,DAPS,Beberapa konsep definisi dan teori perlu untuk diperbaiki,Menambahkan konsep dan definisi serta teori yang relevan berdasarkan literatur review,0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,1.0,100.0,Tercapai
"RB Mendorong Peningkatan Akses, Kualitas, dan Mutu Pendidikan","RB Mendorong Peningkatan Akses, Kualitas, dan Mutu Pendidikan","Internalisasi Penjaminan Kualitas melalui Quality Gates untuk penanggung jawab/tim pada kegiatan statistik yang mendukung dan mendorong peningkatan akses, kualitas, dan mutu pendidikan",Laporan,DAPS,,,0.0,100.0,Tercapai Lebih Awal,1.0,100.0,Tercapai,1.0,100.0,Tercapai,1.0,0.0,Belum Tercapai Pada TW Ini
"RB Mendorong Peningkatan Akses, Kualitas, dan Mutu Pendidikan","RB Mendorong Peningkatan Akses, Kualitas, dan Mutu Pendidikan","Monitoring dan Evaluasi Implementasi Penjaminan Kualitas melalui Quality Gates untuk kegiatan statistik yang mendukung dan mendorong peningkatan akses, kualitas, dan mutu pendidikan",Laporan,DAPS,Masih terdapat gates yang sedang berjalan hingga desember 2025,penulisan laporan Quality Gates dibatasi hingga gates yang telah berjalan sampai awal desember 2025. untuk gates yang masih berjalan diberi keterangan TBD (to be Discussed),0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,1.0,100.0,Tercapai
"RB Mendorong Peningkatan Akses, Kualitas, dan Mutu Pendidikan","RB Mendorong Peningkatan Akses, Kualitas, dan Mutu Pendidikan",Melakukan kajian penyusunan indikator dimensi pendidikan dalam penghitungan kemiskinan multidimensi,Laporan,DAPS,,,0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,1.0,100.0,Tercapai
"RB Mendorong Peningkatan Akses, Kualitas, dan Mutu Pendidikan","RB Mendorong Peningkatan Akses, Kualitas, dan Mutu Pendidikan",Melakukan Penyusunan BRS Indeks Pembangunan Manusia 2025,Laporan,DAPS,Tidak ada kendala yang dihadapi saat merilis angka IPM karena sudah diantisipasi dengan agenda percepatan rilis,,0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,1.0,100.0,Tercapai
"RB Mendorong Peningkatan Akses, Kualitas, dan Mutu Pendidikan","RB Mendorong Peningkatan Akses, Kualitas, dan Mutu Pendidikan",Melakukan survei Sosial Ekonomi Nasional Maret dan September 2025,Persen,Dir. Kesra,-,-,0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,1.0,100.0,Tercapai
"RB Mendorong Peningkatan Akses, Kualitas, dan Mutu Pendidikan","RB Mendorong Peningkatan Akses, Kualitas, dan Mutu Pendidikan","1. BPS menyediakan data penduduk usia sekolah dan status bersekolah serta peringkat kesejahteraannya yaitu Desil 1 dan 2, sebagai sumber data verifikasi calon siswa Program Sekolah Rakyat Tahap 1A, 1B, 1C untuk BPS Provinsi/Kabupaten/Kota lokasi sekolah rakyat.
2. BPS Provinsi/Kabupaten/Kota sebagai tim satgas verifikasi calon siswa sekolah rakyat bersama Dinsos, pendamping PKH, dan Sentra Penyelenggara sekolah rakyat (Surat Sekjen Kemensos Nomor 1486/1/DL.03/05/2025​)",Set Data,Dir. Kesra,-,-,0.0,0.0,Belum Ada Target Pada TW Ini,2.0,100.0,Tercapai,4.0,100.0,Tercapai,4.0,0.0,Belum Tercapai Pada TW Ini
"RB Mendorong Peningkatan Akses, Kualitas, dan Mutu Pendidikan","RB Mendorong Peningkatan Akses, Kualitas, dan Mutu Pendidikan",Identifikasi ketersediaan data variabel pendidikan untuk pemadanan data DTSEN,Set Data,Dir. Kesra,Tidak ada kendala,-,0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,1.0,100.0,Tercapai,1.0,100.0,Tercapai
"RB Mendorong Peningkatan Akses, Kualitas, dan Mutu Pendidikan","RB Mendorong Peningkatan Akses, Kualitas, dan Mutu Pendidikan",Penyesuaian kuesioner Susenas untuk pertanyaan terkait Program MBG pada kuesioner Susenas Maret dan September 2025,Set Data,Dir. Kesra,Keterbatasan space pada kuesioner Susenas,Penyesuaiakn pemilihan variabel yang sesuai dengan ketersediaan space kuesioner,0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,1.0,100.0,Tercapai
"RB Mendorong Peningkatan Akses, Kualitas, dan Mutu Pendidikan","RB Mendorong Peningkatan Akses, Kualitas, dan Mutu Pendidikan","Pemadanan Dapodik Kemdikdasmen dengan variabel pendidikan Survei Sosial Ekonomi Nasional Maret 2025

Pemanfaatan Dapodik Kemdikdasmen untuk koherensi data susenas indikator pendidikan ",Set Data,Dir. Kesra,Tidak ada kendala,Tidak ada,0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,1.0,100.0,Tercapai
"RB Mendorong Peningkatan Akses, Kualitas, dan Mutu Pendidikan","RB Mendorong Peningkatan Akses, Kualitas, dan Mutu Pendidikan",Melakukan pengumpulan data Pemutakhiran Data Perkembangan Desa 2025 (Potensi Desa 2025),Set data,Hansos,-,-,0.25,100.0,Tercapai Melebihi Target,0.5,100.0,Tercapai Melebihi Target,0.75,100.0,Tercapai Melebihi Target,1.0,100.0,Tercapai
"RB Mendorong Peningkatan Akses, Kualitas, dan Mutu Pendidikan","RB Mendorong Peningkatan Akses, Kualitas, dan Mutu Pendidikan",Diseminasi data pendidikan pada website BPS sesuai jadwal rilis yang ditetapkan,Persentase,DDS,Diperlukan ketelitian dan kehatihatian agar waktu rilis sesuai dengan waktunya. ,"Perlu Kerjasama antara anggota, ketua tim dan Struktural untuk monitoring secara berkala",0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,0.0,0.0,Belum Ada Target Pada TW Ini,100.0,100.0,Tercapai
